claim,topic_ip
dry indoor air may encourage Coronavirus spread,2
COVID-19 is shedding new light on how viruses can kick some patient's immune system into overdrive to deadly effect in what is known as a cytokine storm syndrome.,3
The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19 patients so ill that they need a ventilator.,30
Exposure to the sun or to temperatures higher than 77 F (25 C) doesn't prevent the COVID-19 virus or cure COVID-19.,42
"Vitamin C may help shorten the duration and severity of colds caused by other viruses, but this is no guarantee that it will have the same effect on the coronavirus that causes COVID-19.",42
the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,42
Vitamin D may improve odds of survival from COVID-19.,42
VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,42
Ideal weather conditions may have helped coronavirus thrive,2
around 40% of people who contract SARS-CoV-2 most likely remain symptom-free.,27
heart attacks and strokes caused by blood clots appears to be the cause of death in some younger patients under the age of 50.,4
"Understanding these immune changes may help in finding treatments that work for older COVID-19 patients, but, it may also help younger people who may have some of the same problems without knowing it.",3
There is no evidence taking vitamin D supplements will protect people from Covid-19.,42
"chloroquine and hydroxychloroquine (HCQ), which have been extensively used for the treatment of malaria with known safety and efficacy, also limit acidification of endosomes, Golgi vesicles, and lysosomes. These molecules significantly reduce SARS-CoV and SARS-CoV-2 infection in vitro.",5
ARDS (acute respiratory distress syndrome) is a Common Cause of Death in Critically Ill Coronavirus Patients,4
People who are infected but do not show symptoms can also spread the virus to others. ,10
VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,42
"Asymptomatic COVID: Silent, but Maybe Not Harmless",27
Are hydroxychloroquine and chloroquine safe? Hydroxychloroquine and chloroquine are generally considered safe when taken for conditions that they have been approved for.,28
BCG vaccine can boost the immune system enough to prevent healthcare workers from catching coronavirus.,17
people may acquire SARS-CoV-2 through the air and after touching contaminated objects. ,16
all hand sanitizers works against covid-19 ,19
"Cell that Ab8 is highly effective in preventing and treating SARS-CoV-2 infection in mice and hamsters. Its tiny size not only increases its potential for diffusion in tissues to better neutralize the virus, but also makes it possible to administer the drug by alternative routes, including inhalation. Importantly, it does not bind to human cells -- a good sign that it won't have negative side-effects in people.",5
"In some covid-19 patients, this decision might be influenced by known individual preferences.",4
The COVID-19 virus can be spread through mosquito bites,26
Coronavirus can Be Crushed By Warmer Weather,2
Symptoms of COVID-19 may appear 2-14 days after exposure.,3
a study reports the potential contribution of vitamin D deficiency to an increased risk of COVID-19 in a subset of health care workers in the UK,42
"COVID-19 is the disease that the SARS-CoV-2 virus causes. When a person gets the virus, their immune system will respond by causing some inflammation. ",39
A central player in the fight against the novel coronavirus is our immune system.,3
"Coronaviruses are a large family of different viruses and have coexisted with humans for a long time. The leap from animals to humans, however, coronavirus is new",1
Nearly 150 COVID-19 vaccine candidates are currently being researched.,33
"Heart damage lingers in COVID-19 patients, even after recovery",22
"The virus that causes COVID-19 appears to spread more efficiently than influenza but not as efficiently as measles, which is among the most contagious viruses known to affect people.",10
"The coronavirus can live on a surgical mask for 7 days, cloth for 2 days, and paper for 3 hours. ",16
"Still, supplementation like vitamin d is not a bad idea to fight covid-19",42
'Social distancing' could help stop coronavirus spread,10
"By curbing inflammation, the drug could help people whose immune systems have become overactive through a process called a cytokine storm, which can cause severe COVID-19 symptoms",3
social distancing is the most effective measure of containing the spread of the new coronavirus.,10
Drugs for high blood pressure appear to make COVID-19 worse,20
National Academies Press. Rapid expert consultation on the effectiveness of fabric masks for the COVID-19 pandemic.,44
"Experts anticipate some seasonal impact on the spread of the coronavirus, though the exact relationship is unclear.",2
"Yes, the novel coronavirus can survive on surfaces. No, it doesn't seem to matter.",16
diabetes more than doubles your risk of dying from coronavirus.,24
The populations at highest risk of severe cases of COVID-19 (the elderly and those with underlying health conditions) and the timing of the outbreak (end of winter in the Northern Hemisphere when population Vitamin D levels are typically lowest) are consistent with deficient Vitamin D status being a risk factor for COVID-19,42
"Studies on the use of available vaccines, including BCG (Bacille Calmette-Guérin vaccine), to develop immunity against this virus are also underway. Specific vaccines against SARS-CoV-2 are also being developed in many laboratories across the world. ",5
"Currently, the antibody responses against SARS-CoV-2 remain poorly understood and the clinical utility of serological testing is unclear ",5
number of deaths by covid-19 can be reduced if the population wear face masks in public,18
"reports hypertension may be risk factor for people who get infected with the coronavirus, experts says there's not enough evidence to support that fear.",23
only people with symptoms can spread the the new coronavirus,27
"Although cardiovascular diseases in combination with COVID-19 portend increased risk of severity and mortality, the use of [ACE inhibitors and ARBs] is not the likely culprit.",20
"The COVID-19 disease can infect anyone at any age. People with pre-existing health conditions such as asthma, COPD, diabetes and heart disease appear to be more at risk.",24
Researchers have found that remdesivir is highly effective at fighting the novel coronavirus in isolated cells,30
Masks prevent the spread of COVID-19,44
"Several already approved drugs, including lopinavir (LPV), ritonavir, chloroquine, favipiravir, and remdesivir, an antiviral awaiting approval have been repurposed and their efficacy in fighting COVID-19 is being evaluated",5
"Since patients treated with ACEIs and ARBS will have increased numbers of ACE2 receptors in their lungs for coronavirus S proteins to bind to, they may be at increased risk of severe disease outcomes due to SARS-CoV-2infections",20
"The first known cases of COVID-19 were in Wuhan, China",1
"CT changes consistent with COVID-19 pneumonia can be observed in asymptomatic patients, as well as mild damage to the immune system.",3
warmer weather slow coronavirus,2
"The use of ACE inhibitors was associated with an almost 40% lower risk of COVID-19 hospitalization for the older, Medicare Advantage patients - but there was no significant difference in risk for the younger, commercially insured patients.",20
no clinical evidence on vitamin D in COVID-19,42
"only 6% of deaths have COVID-19 as the only cause mentioned, revealing that 94% of patients who died from coronavirus also had other health conditions and contributing causes.",4
heart disease is the main cause of the death for COVID-19 patients,4
coronavirus originate in a Chinese laboratory,1
"COVID-19 disease, caused by infection with SARS-CoV-2, is related to a series of physiopathological mechanisms that mobilize a wide variety of biomolecules, mainly immunological in nature. ",39
young and healthy peope are in low risk with covid-19,10
wearing a face mask do not stopped person-to-person spread of the virus.,44
"Namely, winter is coming. On the minds of many restaurant owners is the fact that this month's mild weather is just weeks away from becoming a cold, windy, rainy mess, perhaps heavily impacting outdoor dining - one of the few ways restaurants have been able to (barely) scrape by.",2
"a person can also get the coronavirus if they touch a surface or object that has viral particles on it and then touch their mouth, nose, or eyes.",16
"Many experts believe that the rapid decline in certain COVID-19 patients, including those who need support from a ventilator, comes down to an individual's immune system",3
coronavirus may originated in a lab,1
Children are not COVID-19 super spreaders,47
We know that COVID-19 is a coronavirus and there are other types of human coronaviruses that circulate. ,2
Can Vitamin C Protect You from COVID-19?,42
Vitamin Deficiency May Raise Risk of Serious COVID-19,42
"do surgical masks actually prevent the spread of COVID-19? No, absolutely not.",44
not all masks confer equal levels of protection,18
"The coronavirus that causes COVID-19 can spread between people interacting in close proximity - for example, speaking, coughing, sneezing, or singing- even if those people do not symptoms",16
Blood pressure drugs linked to lower Covid-19 mortality,23
Several recent studies have looked at the impact of vitamin D on COVID-19.,42
Tests have confirmed that two hand sanitizer formulations recommended by the World Health Organization (WHO) inactivate the virus that causes coronavirus disease 19 (COVID-19).,19
Long-term health conditions and aging weaken your immune system,3
One reason Covid-19 has spread so rapidly is that people infected with the SARS-CoV-2 coronavirus can show no symptoms of disease and yet are still contagious - they don't look or feel sick but still transmit the virus without realizing.,27
"Early symptoms for covid-19: include fever, cough, and shortness of breath. These appear as soon as 2 days, or as long as 14 days, after exposure to the virus.",3
"Self-isolation suddenly and fundamentally changed our lifestyles: how we move, where we go, how we work, how we play, who we spend time with and who is watching us. This has a huge impact on crime.",43
Low Vitamin D Levels Tied to Odds for Severe COVID,42
"Young adults are driving coronavirus infections and are likely spreading the virus to older, more vulnerable populations",21
Coronavirus spread 'should not be blamed on young people',21
studies have shown that a deficiency of the nutrient (vitamin D) is linked to higher risk of severe COVID-19.,42
"If you do get COVID-19, the infection could put you at greater risk for diabetes complications like diabetic ketoacidosis (DKA). DKA happens when high levels of acids called ketones build up in your blood. It can be very serious.",24
fear and anxiety about a new disease and what could happen can be overwhelming and cause strong emotions in adults and children. ,10
The CORONAVIRUS is not of natural origin,1
elderly or people with underlying medical conditions are in high risk with covid-19,10
Blood Pressure Meds Could Improve Survival in COVID-19,20
HVAC systems can spread the disease caused by the coronavirus,2
immune responses to coronavirus in severely ill and critically ill patients are as strong or stronger than those of patients with milder illness.,3
"COVID-19 Primary, Not Only, Cause of 94% of Deaths",4
"When the immune system's next stage kicked in, both adults and children made antibodies targeting the coronavirus.",3
"Social distancing is crucial for preventing the spread of contagious illnesses such as COVID-19 (coronavirus). COVID-19 can spread through coughing, sneezing and close contact. By minimizing the amount of close contact we have with others, we reduce our chances of catching the virus and spreading it to our loved ones and within our community.",10
wet weather can kill the new coronavirus,2
"Coronavirus deaths in people with diabetes Data from NHS England in May showed us that, for those who become so unwell with coronavirus that they need to go to hospital, the risk of dying is higher for people living with diabetes than people without the condition.",24
Duo of antiviral drugs strongly inhibits SARS-CoV-2 in the lab,5
"SARS-CoV-2, the official name of the virus that causes COVID-19, is spread by respiratory droplets produced when people breathe, talk, sneeze or cough.",2
Most people infected with the COVID-19 virus will experience mild to moderate respiratory illness and recover without requiring special treatment,1
individuals with hypertension get more serious cases of COVID-19,23
"A lot has been written around the novel Coronavirus and how it impacts lungs, but in recent few months, experts have observed a rise in cardiac arrest cases during the pandemic.",22
Does ultraviolet light kill the coronavirus ? No,19
The analyses clearly show that SARS-CoV-2 is not a laboratory construct or a purposefully manipulated virus,1
"Our study shows that camostat mesylate blocks infection of cells with SARS-CoV-2-like particles and with authentic, patient-derived SARS-CoV-2. ",5
there's actually elevated transmission during the winter months from COVID.,2
Can people who are asymptomatic spread coronavirus? The answer is NO,27
Mask wearing and social distancing for COVID-19 may be slowing influenza spread,10
"In covid-19 patients especially old people, those who had sufficient levels of vitamin D were more than 51% less likely to die than patients who were deficient.",42
"The pandemic coronavirus will wane with warmer weather, like some other respiratory",2
"Some people with diabetes, a disease that affects the body's ability to produce or use the hormone insulin to reduce glucose (sugar) in the blood, may be concerned about being at higher risk of getting COVID-19. However, this is a misconception.",24
Coronavirus Can Linger in Air for Hours.,2
High Blood Pressure Doubles Coronavirus Death Risk,23
"in some people with severe COVID-19, the body goes rogue and attacks one of its own key immune defenses instead of the coronavirus.",3
"if you do not have covid-19 symptoms, you can not spread the virus",27
"If you have any of the main symptoms of coronavirus (COVID-19), get a test as soon as possible.",26
"Do you need hand sanitizer to effectively fight COVID-19? Per the Centers for Disease Control and Prevention, the most effective way of fighting coronavirus is using soap and water to wash your hands",19
Covid 19 is different from the flu,31
Samples from the lungs of patients show a runaway immune system reaction could be one mechanism behind severe COVID-19 cases.,3
children are unlikely to die from COVID-19,42
Vitamin D appears increase COVID-19 mortality rates ,42
"Another candidate vaccine, called CoronaVac , being developed by Beijing-based Sinovac Biotech, protected rhesus macaque monkeys from infection with the novel coronavirus,",33
High blood pressure is a serious condition for covid-19 patients,23
Dexamethasone cures covid-19,46
COVID-19 rarely spreads between people and animals,10
0% Isopropyl Alcohol Is a Better Disinfectant Than 99% Isopropyl Alcohol When It Comes to COVID-19,19
SARS-CoV-2 is more stable on plastic and stainless steel than on copper and cardboard,16
COVID-19 appears to be more contagious and to spread more quickly than the flu.,31
"people who died of COVID-19, acute respiratory failure was the leading cause of death",4
social distancing can not help you to avoid catching a virus,10
Coronavirus does not cause heart Damage,22
ACE inhibitors and angiotensin receptor blockers may increase the risk of severe COVID-19,20
"Other viral respiratory diseases, such as influenza, are seasonal in that cases decrease in the spring and summer. But unlike the flu, no one knows what to expect from COVID-19",2
people develop abdominal discomfort or nausea when calcium gets too high,42
there is also growing evidence that smaller particles called aerosols can hang in the air longer and travel farther.,16
early increases in positivity rates among people age 17 to 24 were followed by several weeks of rising positivity rates in people 25 and older,21
"New evidence suggests the coronavirus has lasting impacts on the heart, raising alarm for cardiologists who have been concerned about potential long-term heart injury from COVID-19.",22
Traditional medicines involving plant-based formulations have proven successful in boosting immunity and providing tolerance to virus infections.,5
even wearing non-medical grade masks or face coverings would have a profound effect in limiting coronavirus transmission,44
The science is clear: Face masks can prevent coronavirus transmission and save lives.,18
"We know that patients with cardiovascular diseases are at particular risk of severe COVID-19 infection,",20
