claim,topic_id,ndcg@5,map@5,ndcg@10,map@10,ndcg@20,map@20,ndcg@50,map@50,ndcg@100,map@100,stance_support@5,stance_contradict@5,stance_neutral@5,inverse_simpson@5,diversity_level@5,stance_support@10,stance_contradict@10,stance_neutral@10,inverse_simpson@10,diversity_level@10,stance_support@20,stance_contradict@20,stance_neutral@20,inverse_simpson@20,diversity_level@20,stance_support@50,stance_contradict@50,stance_neutral@50,inverse_simpson@50,diversity_level@50,stance_support@100,stance_contradict@100,stance_neutral@100,inverse_simpson@100,diversity_level@100
The antiviral drug remdesivir has been one of the few treatments that's seemed to help curb death rates in COVID-19,30,0.8930068676327362,0.0146198830409356,0.7509288930482942,0.0217395340202357,0.6325631023036786,0.0336178231431069,0.5694682406633943,0.0627706557968772,0.4516674033292859,0.0877360663977365,0.335866779088974,0.32934194803237915,0.3347913324832916,2.999779181045974,high,0.336794912815094,0.33000439405441284,0.33320075273513794,2.9997920538092506,high,0.3328697085380554,0.3312912583351135,0.33583906292915344,2.9999038905894047,high,0.325082391500473,0.3363935053348541,0.3385240435600281,2.9990611631137924,high,0.3247731328010559,0.3356512188911438,0.3395756483078003,2.998941884250413,high
the lack of Vitamin D make you more susceptible to the Covid-19 coronavirus,42,0.830419897363192,0.0191891891891891,0.8263333286520083,0.0378614328614328,0.6890779577213988,0.0561701717197073,0.5868219702284182,0.0994307261450528,0.5407797082925555,0.169364648593786,0.3123040497303009,0.33281049132347107,0.35488542914390564,2.991859294367559,high,0.31249338388442993,0.33592259883880615,0.3515840172767639,2.993049282454351,high,0.31161224842071533,0.3385363817214966,0.3498513698577881,2.9930703739800153,high,0.31333085894584656,0.3398253321647644,0.34684374928474426,2.9943879819803594,high,0.3146020770072937,0.3398544192314148,0.34554335474967957,2.995126755677872,high
Vitamin D may improve odds of survival from COVID-19.,42,0.7227265726449519,0.0162162162162162,0.8200685179888283,0.0362634062634062,0.7075979543758567,0.0604518667676562,0.5952619633182287,0.1049149919331706,0.6173492807321925,0.2174201044296963,0.30606916546821594,0.35351163148880005,0.3404192328453064,2.989232345368861,high,0.3063032329082489,0.34828072786331177,0.34541600942611694,2.9901324404696927,high,0.3067566156387329,0.34770554304122925,0.34553787112236023,2.990473813861132,high,0.3132878243923187,0.34160760045051575,0.3451046049594879,2.994530148883009,high,0.3162846267223358,0.34191393852233887,0.34180137515068054,2.996081500153713,high
VITAMIN D LEVELS MAY IMPACT COVID-19 MORTALITY RATES,42,0.6608397947263839,0.0146846846846846,0.7136540102475308,0.0328764478764478,0.6546041434395862,0.0563502693998049,0.5613089654724035,0.102257273228082,0.5559400278154477,0.1861134237971797,0.31279176473617554,0.34302401542663574,0.3441843092441559,2.994307818626561,high,0.3115202784538269,0.34433919191360474,0.34414055943489075,2.993590013525136,high,0.32549849152565,0.34215104579925537,0.3323504626750946,2.998739533949291,high,0.32297131419181824,0.3429485559463501,0.3340802490711212,2.998196941135074,high,0.3177320063114166,0.34232035279273987,0.3399476706981659,2.996692374385067,high
Ideal weather conditions may have helped coronavirus thrive,2,0.8687949224876582,0.0123456790123456,0.77523873680463,0.0193930041152263,0.6485796558235206,0.0281320145903479,0.529040539182329,0.0489722482299276,0.5009054196261656,0.0852865082269159,0.3203524053096771,0.339134156703949,0.3405134379863739,2.9977185506037842,high,0.3173217475414276,0.34050604701042175,0.34217220544815063,2.996530467117489,high,0.31987351179122925,0.3411206603050232,0.33900585770606995,2.997535913196394,high,0.3202255964279175,0.3364400863647461,0.3433343768119812,2.997468434037203,high,0.31914037466049194,0.33794862031936646,0.34291115403175354,2.997171508282981,high
There is no evidence taking vitamin D supplements will protect people from Covid-19.,42,0.3451913422468693,0.0048648648648648,0.5750739861833288,0.0214221364221364,0.590769584082333,0.0457169618934324,0.595220868766906,0.1077408324097284,0.5883947774157602,0.2101289381965949,0.3137003779411316,0.3409874141216278,0.3453121781349182,2.994721774883074,high,0.3159312605857849,0.34237200021743774,0.34169676899909973,2.9959151115337677,high,0.3166252076625824,0.3414784073829651,0.3418963849544525,2.996235332440862,high,0.31446054577827454,0.3412398397922516,0.3442996144294739,2.995157233911413,high,0.3151033818721771,0.3413466513156891,0.34355002641677856,2.9954981511602785,high
VITAMIN D LEVELS increase COVID-19 MORTALITY RATES,42,0.3835663673713356,0.0063063063063063,0.4884513709848781,0.0175718575718575,0.5947321407199623,0.045488133831787,0.509660062281901,0.0841208820347048,0.5248963056316052,0.1670199178097723,0.3251599967479706,0.3321133553981781,0.3427266776561737,2.998591607697686,high,0.3209279179573059,0.33535224199295044,0.34371984004974365,2.9976092868410005,high,0.3156255781650543,0.3417988419532776,0.3425756096839905,2.995769870981958,high,0.31728658080101013,0.3441929221153259,0.3385204076766968,2.996383829022757,high,0.315773606300354,0.34373652935028076,0.34048977494239807,2.995796617723631,high
all hand sanitizers works against covid-19 ,19,0.3156484524795145,0.0080128205128205,0.4517660318707361,0.0374656593406593,0.3659521037722935,0.065034884986808,0.2847673034046004,0.0944680289903156,0.311521514715786,0.1298284060225078,0.3284388780593872,0.3295842409133911,0.3419768214225769,2.9989861101378974,high,0.32825395464897156,0.33371099829673767,0.3380350172519684,2.9995678689754417,high,0.3249128460884094,0.3372874855995178,0.33779969811439514,2.9990418634183453,high,0.3281567692756653,0.3372827172279358,0.33456048369407654,2.9996051414039857,high,0.32611849904060364,0.3363838195800781,0.3374977111816406,2.9992917064582714,high
A central player in the fight against the novel coronavirus is our immune system.,3,0.0,0.0,0.0678427226955831,0.0005767811000369,0.0629757971410431,0.0009920634920634,0.0414763704025186,0.0011465871728175,0.0443298681235893,0.0016799894006629,0.3280269205570221,0.3295758366584778,0.3423972725868225,2.998880238219957,high,0.32735925912857056,0.3299022912979126,0.34273841977119446,2.9987775898017492,high,0.32702988386154175,0.32838308811187744,0.3445870280265808,2.99828293904791,high,0.3235781490802765,0.33316901326179504,0.34325283765792847,2.9982588269858765,high,0.3228588402271271,0.33412447571754456,0.34301677346229553,2.9981634541858035,high
"Heart damage lingers in COVID-19 patients, even after recovery",22,0.180027307288617,0.0020661157024793,0.1168254041215526,0.0020661157024793,0.1101454739895562,0.0024535123966942,0.1147432831246043,0.004255723092332,0.0860143440288427,0.0047859317794522,0.31862592697143555,0.34366574883461,0.33770832419395447,2.996923356686003,high,0.31567808985710144,0.34248095750808716,0.3418409824371338,2.9957958153144317,high,0.3186247944831848,0.3397870659828186,0.3415881097316742,2.9970679060175764,high,0.3201378881931305,0.34053587913513184,0.3393261730670929,2.9976449038101958,high,0.31610819697380066,0.340108722448349,0.34378302097320557,2.99593945340925,high
